id,label,pagerank,degree,weighted degree,betweenness,modularity_class,eigencentrality,top names
Addam-Marbrand,Addam Marbrand,0.001658302,12,56,148.2385875,3,0.200251726,
Jaime-Lannister,Jaime Lannister,0.015460587,101,1569,31825.98727,3,0.881689191,Jaime
Tywin-Lannister,Tywin Lannister,0.006578567,48,690,6523.717361,3,0.618962441,Tywin
Aegon-I-Targaryen,Aegon I Targaryen,0.0017869,9,41,2174.903452,0,0.107241811,
Daenerys-Targaryen,Daenerys Targaryen,0.013047754,73,1608,37374.50312,0,0.302037282,Daenerys
Eddard-Stark,Eddard Stark,0.011485062,74,1649,24849.12408,2,0.758854569,Eddard
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),0.004170357,26,395,5996.713823,1,0.170243911,Aemon
Alliser-Thorne,Alliser Thorne,0.00215015,15,159,699.9892633,1,0.177767383,
Bowen-Marsh,Bowen Marsh,0.002645307,18,187,336.3917595,1,0.130949231,Bowen
Chett,Chett,0.001193239,7,54,30.26272613,1,0.054924189,
Clydas,Clydas,0.001152654,7,88,70.11709262,1,0.073647917,
Jeor-Mormont,Jeor Mormont,0.00433504,28,484,5450.116868,1,0.200269139,Jeor
Jon-Snow,Jon Snow,0.018999999,114,2757,60635.83377,1,0.652392175,Jon
Samwell-Tarly,Samwell Tarly,0.006975666,44,934,13087.35587,1,0.222438731,Samwell
Aerys-II-Targaryen,Aerys II Targaryen,0.003342407,19,184,4440.320938,2,0.261966773,Aerys
Brandon-Stark,Brandon Stark,0.001284911,8,55,145.8220587,2,0.118600139,
Gerold-Hightower,Gerold Hightower,0.001526733,8,34,2649.823679,2,0.107917932,
Jon-Arryn,Jon Arryn,0.002673438,17,199,2781.115147,2,0.309145162,Jon Arryn
Robert-Baratheon,Robert Baratheon,0.008779494,65,1488,24689.83257,2,0.770696684,Robert
Aggo,Aggo,0.001553655,10,112,31.69820762,0,0.05070168,
Drogo,Drogo,0.003513729,21,307,3910.631713,0,0.081023782,Drogo
Jhogo,Jhogo,0.00184813,12,131,52.20186239,0,0.054238583,
Jorah-Mormont,Jorah Mormont,0.003818527,26,401,3417.093467,0,0.152679943,Jorah
Quaro,Quaro,8.97E-04,5,21,0.45,0,0.022176941,
Rakharo,Rakharo,0.001568548,10,85,10.17252627,0,0.038474061,
Albett,Albett,6.14E-04,3,11,0,1,0.029139153,
Halder,Halder,0.001310223,8,62,13.92731199,1,0.05270844,
Rast,Rast,0.00102398,6,26,7.347420635,1,0.047752974,
Grenn,Grenn,0.002245927,15,265,149.8164703,1,0.080657866,Grenn
Pypar,Pypar,0.002333769,16,232,73.99488342,1,0.087720451,Pypar
Tyrion-Lannister,Tyrion Lannister,0.018361958,122,2873,51189.9428,3,1,Tyrion
Alyn,Alyn,8.19E-04,5,32,7.271034706,2,0.071547097,
Harwin,Harwin,0.001626347,11,71,113.0263867,4,0.106592412,
Jory-Cassel,Jory Cassel,0.003021115,21,152,1539.60163,2,0.335546415,Jory
Tomard,Tomard,0.001115669,7,42,46.1716123,2,0.112962032,
Arthur-Dayne,Arthur Dayne,0.001230385,5,24,1671.862702,2,0.022133942,
Arya-Stark,Arya Stark,0.013448327,84,1460,27534.99765,4,0.689939049,Arya
Benjen-Stark,Benjen Stark,0.002168581,14,125,1791.269028,1,0.234524428,Benjen
Bran-Stark,Bran Stark,0.008374658,54,1508,14174.64167,5,0.50127131,Bran
Catelyn-Stark,Catelyn Stark,0.011187242,75,1230,17350.51421,5,0.697379498,Catelyn
Cersei-Lannister,Cersei Lannister,0.013361685,97,2232,27996.39709,3,0.913675701,Cersei
Desmond,Desmond,4.56E-04,2,7,0,2,0.050168622,
Ilyn-Payne,Ilyn Payne,0.002746662,22,268,282.5701786,3,0.358906606,Ilyn
Jeyne-Poole,Jeyne Poole,0.001965758,13,112,545.0369838,6,0.155369063,
Joffrey-Baratheon,Joffrey Baratheon,0.008864548,69,1762,10023.52911,3,0.830307261,Joffrey
Meryn-Trant,Meryn Trant,0.002614023,21,298,296.8611257,3,0.326117121,Meryn
Mordane,Mordane,0.001544201,11,145,150.5648741,3,0.233883009,
Mycah,Mycah,7.91E-04,5,65,0,3,0.120597801,
Myrcella-Baratheon,Myrcella Baratheon,0.003123455,22,264,6373.17791,3,0.29558408,Myrcella
Petyr-Baelish,Petyr Baelish,0.006531267,47,733,8173.981409,2,0.591989794,Petyr
Rickon-Stark,Rickon Stark,0.002442985,17,345,625.2435571,5,0.259889768,Rickon
Robb-Stark,Robb Stark,0.01108117,74,1424,20978.43254,5,0.696184176,Robb
Rodrik-Cassel,Rodrik Cassel,0.004419386,30,253,3491.346696,5,0.377090053,Rodrick
Sandor-Clegane,Sandor Clegane,0.004673074,36,528,2786.293678,3,0.467620155,Sandor
Sansa-Stark,Sansa Stark,0.010185379,75,1547,15367.60421,3,0.795265222,Sansa
Syrio-Forel,Syrio Forel,6.88E-04,4,43,3.13736387,4,0.068380644,
Tommen-Baratheon,Tommen Baratheon,0.0043059,33,539,1973.003163,3,0.449459369,Tommen
Vayon-Poole,Vayon Poole,8.11E-04,5,28,0,2,0.118913758,
Yoren,Yoren,0.002673644,18,120,1530.268947,4,0.201451207,Yoren
Arys-Oakheart,Arys Oakheart,0.001367431,9,76,559.0120006,11,0.111221516,
Balon-Greyjoy,Balon Greyjoy,0.00230163,13,149,3012.776117,6,0.178382212,Balon
Balon-Swann,Balon Swann,0.002134301,16,96,1135.899858,3,0.215036776,
Renly-Baratheon,Renly Baratheon,0.005541425,38,639,5972.535299,7,0.50718092,Renly
Barristan-Selmy,Barristan Selmy,0.006118771,41,470,14376.13016,0,0.398325907,Barristan
Boros-Blount,Boros Blount,0.00181724,14,149,71.93278403,3,0.238671352,
Pycelle,Pycelle,0.003697726,27,357,2337.571248,2,0.424864197,Pycelle
Varys,Varys,0.004486703,34,609,2904.093332,2,0.502065307,Varys
Jaremy-Rykker,Jaremy Rykker,0.001067718,5,30,794.9,1,0.04344749,
Luwin,Luwin,0.003184198,22,376,994.6306088,5,0.247911498,Luwin
Mance-Rayder,Mance Rayder,0.004958755,33,389,4293.968658,1,0.239109913,Mance
Theon-Greyjoy,Theon Greyjoy,0.012039921,66,782,35122.68445,6,0.438876561,Theon
Waymar-Royce,Waymar Royce,8.41E-04,3,34,502.9361073,8,0.00942552,
Beric-Dondarrion,Beric Dondarrion,0.002526931,18,166,675.3459815,4,0.258730582,Beric
Gregor-Clegane,Gregor Clegane,0.004142355,33,410,1731.427412,3,0.466202614,Gregor
Loras-Tyrell,Loras Tyrell,0.003540885,28,329,455.349468,3,0.459843156,Loras
Thoros-of-Myr,Thoros of Myr,0.001373403,9,117,158.6617326,4,0.11922029,
Hali,Hali,3.20E-04,1,3,0,5,0.0176184,
Hallis-Mollen,Hallis Mollen,0.001023701,6,46,37.24999701,5,0.093432163,
Hodor,Hodor,0.001658945,11,383,67.37888793,5,0.092805571,
Hullen,Hullen,9.44E-04,6,20,14.66061804,5,0.079062559,
Joseth,Joseth,4.43E-04,2,7,0,5,0.026440099,
Nan,Nan,0.001324903,8,91,225.4947344,5,0.108520074,
Osha,Osha,0.001413436,9,117,69.3090947,5,0.086604766,
Rickard-Karstark,Rickard Karstark,0.001810945,12,89,289.2432125,5,0.165066067,
Rickard-Stark,Rickard Stark,4.57E-04,2,7,2.043625819,5,0.021828658,
Stiv,Stiv,4.48E-04,2,7,0,5,0.041784675,
Lyanna-Stark,Lyanna Stark,8.15E-04,5,40,3.630025009,2,0.091261697,
Bronn,Bronn,0.003549668,25,313,915.2991598,3,0.28617852,Bronn
Chiggen,Chiggen,5.75E-04,3,16,0,3,0.047909955,
Marillion,Marillion,0.001317382,9,64,26.40172959,5,0.149509346,
Shae,Shae,0.001923681,13,147,260.7271133,3,0.189707143,
Shagga,Shagga,0.00161716,7,70,1596.275015,3,0.06374307,
Vardis-Egen,Vardis Egen,9.90E-04,6,37,56.49057052,3,0.084298439,
Willis-Wode,Willis Wode,9.76E-04,6,28,13.48828818,3,0.088931668,
Brynden-Tully,Brynden Tully,0.002708986,19,185,702.8859695,5,0.237448507,Brynden
Edmure-Tully,Edmure Tully,0.003387722,24,291,1092.20667,5,0.254304759,Edmure
Hoster-Tully,Hoster Tully,0.001474899,10,90,109.6903808,5,0.141302348,
Lysa-Arryn,Lysa Arryn,0.003348784,24,341,1914.070609,5,0.342602571,Lysa
Nestor-Royce,Nestor Royce,0.001070311,7,58,24.39893666,5,0.099355639,
Walder-Frey,Walder Frey,0.002829265,19,176,2093.839532,5,0.216395381,Walder
Colemon,Colemon,0.001021467,6,30,36.18418348,5,0.056494854,
Donnel-Waynwood,Donnel Waynwood,3.15E-04,1,3,0,5,0.0241265,
Eon-Hunter,Eon Hunter,5.74E-04,3,9,0,5,0.038919576,
Jon-Umber-(Greatjon),Jon Umber (Greatjon),0.002212108,14,102,429.5406264,5,0.141530252,Greatjon
Masha-Heddle,Masha Heddle,3.15E-04,1,5,0,5,0.0241265,
Moreo-Tumitis,Moreo Tumitis,3.15E-04,1,3,0,5,0.0241265,
Mya-Stone,Mya Stone,9.18E-04,5,34,34.32815449,5,0.03566138,
Mychel-Redfort,Mychel Redfort,3.15E-04,1,3,0,5,0.0241265,
Robert-Arryn,Robert Arryn,0.003244365,20,151,3540.894984,5,0.163941453,Robert Arryn
Stevron-Frey,Stevron Frey,8.56E-04,5,19,0.833333333,5,0.062647841,
Tytos-Blackwood,Tytos Blackwood,9.48E-04,5,19,33.04870591,5,0.06657696,
Wendel-Manderly,Wendel Manderly,0.00141059,7,28,814.2744704,5,0.060087095,
Cayn,Cayn,5.80E-04,3,16,2.327777778,2,0.047089615,
Janos-Slynt,Janos Slynt,0.003131573,23,196,2266.9684,1,0.33408114,Janos
Stannis-Baratheon,Stannis Baratheon,0.013649912,89,1375,34761.69491,7,0.742983245,Stannis
Chella,Chella,5.54E-04,3,16,0,3,0.05813429,
Clement-Piper,Clement Piper,4.83E-04,2,7,0,5,0.032205421,
Karyl-Vance,Karyl Vance,7.72E-04,4,15,6.606010895,5,0.045049207,
Cohollo,Cohollo,7.84E-04,4,29,0,0,0.01906484,
Haggo,Haggo,0.001078997,6,45,0.983333333,0,0.02245906,
Qotho,Qotho,0.00122688,7,68,9.377123794,0,0.027682409,
Conn,Conn,8.86E-04,3,20,794,3,0.037728247,
Coratt,Coratt,4.40E-04,1,5,0,3,0.001633953,
Doreah,Doreah,9.93E-04,6,54,0.652272727,0,0.032381985,
Eroeh,Eroeh,3.40E-04,1,8,0,0,0.012422001,
Illyrio-Mopatis,Illyrio Mopatis,0.001813087,12,138,379.5307796,0,0.106004496,
Irri,Irri,0.002254309,15,220,313.3664379,0,0.054655514,Irri
Jhiqui,Jhiqui,0.001835029,12,183,22.66810586,0,0.045018636,
Mirri-Maz-Duur,Mirri Maz Duur,0.001040211,6,66,3.038621493,0,0.027840174,
Rhaegar-Targaryen,Rhaegar Targaryen,0.002709567,18,202,2474.966144,2,0.229834851,Rhaegar
Viserys-Targaryen,Viserys Targaryen,0.00210191,14,169,775.5447875,0,0.130200237,
Danwell-Frey,Danwell Frey,7.63E-04,3,9,330.4430054,7,0.008917265,
Hosteen-Frey,Hosteen Frey,9.69E-04,4,17,305.715996,7,0.009254063,
Jared-Frey,Jared Frey,8.56E-04,3,9,1.916666667,7,0.002117589,
Dareon,Dareon,0.001172024,6,53,970.7913025,1,0.068417461,
Daryn-Hornwood,Daryn Hornwood,5.08E-04,2,6,0,2,0.027998416,
Torrhen-Karstark,Torrhen Karstark,6.64E-04,3,11,16.50238183,2,0.051402264,
Dolf,Dolf,3.85E-04,1,10,0,3,0.002533387,
Donal-Noye,Donal Noye,0.001327243,8,85,75.87815019,1,0.08416131,
Jommo,Jommo,6.11E-04,2,6,0,0,0.004351901,
Ogo,Ogo,9.89E-04,3,18,794,0,0.004711173,
Rhaego,Rhaego,3.31E-04,1,5,0,0,0.00373751,
Dywen,Dywen,0.001339033,8,55,174.5140278,1,0.054808031,
Galbart-Glover,Galbart Glover,0.001282566,8,34,298.6687127,5,0.110627915,
Gendry,Gendry,0.003236759,20,238,3934.637105,4,0.160128291,Gendry
High-Septon-(fat_one),High Septon (fat_one),5.57E-04,3,12,0,3,0.088565135,
Howland-Reed,Howland Reed,4.52E-04,2,6,0,5,0.043584998,
Jacks,Jacks,3.20E-04,1,4,0,2,0.025966597,
Joss,Joss,3.20E-04,1,5,0,2,0.025966597,
Marq-Piper,Marq Piper,0.001212414,8,32,56.16199054,5,0.124976174,
Porther,Porther,3.20E-04,1,4,0,2,0.025966597,
Raymun-Darry,Raymun Darry,4.35E-04,2,12,0,2,0.052092503,
Tobho-Mott,Tobho Mott,3.20E-04,1,7,0,2,0.025966597,
Tregar,Tregar,3.20E-04,1,4,0,2,0.025966597,
Varly,Varly,3.20E-04,1,4,0,2,0.025966597,
Wyl-(guard),Wyl (guard),7.75E-04,4,15,85.01684909,2,0.068585616,
Wylla,Wylla,3.20E-04,1,3,0,2,0.025966597,
Fogo,Fogo,4.69E-04,1,4,0,0,6.14E-04,
Roose-Bolton,Roose Bolton,0.003959645,28,232,1753.615171,3,0.358208392,Roose
Gared,Gared,8.41E-04,3,29,322.2280893,8,0.008913109,
Will-(prologue),Will (prologue),6.65E-04,2,30,0,8,0.00147331,
Oswell-Whent,Oswell Whent,8.64E-04,3,9,378.7973154,2,0.005064513,
Todder,Todder,7.21E-04,4,41,0,1,0.034339742,
Gunthor-son-of-Gurn,Gunthor son of Gurn,3.16E-04,1,7,0,3,0.034764842,
Harys-Swyft,Harys Swyft,0.001252343,9,42,26.16934806,3,0.13985087,
Heward,Heward,4.75E-04,2,8,0,2,0.014037311,
Hobb,Hobb,0.001638237,11,49,27.4538146,1,0.079926434,
Hugh,Hugh,3.22E-04,1,3,0,2,0.010405177,
Jafer-Flowers,Jafer Flowers,3.70E-04,1,3,0,1,0.001938291,
Kevan-Lannister,Kevan Lannister,0.002385238,17,196,597.5564485,3,0.280614087,Kevan
Matthar,Matthar,3.30E-04,1,3,0,1,0.024617956,
Othor,Othor,3.30E-04,1,5,0,1,0.024617956,
Maege-Mormont,Maege Mormont,8.72E-04,5,27,1.266666667,5,0.061334153,
Jonos-Bracken,Jonos Bracken,4.80E-04,2,12,0,3,0.032912876,
Jyck,Jyck,5.50E-04,2,11,0,3,0.036319517,
Morrec,Morrec,5.50E-04,2,10,0,3,0.036319517,
Kurleket,Kurleket,3.16E-04,1,5,0,3,0.034764842,
Lancel-Lannister,Lancel Lannister,0.001664997,12,149,164.1963342,3,0.221468115,
Leo-Lefford,Leo Lefford,3.16E-04,1,4,0,3,0.034764842,
Mace-Tyrell,Mace Tyrell,0.003085661,23,203,1856.236556,3,0.336093287,Mace
Lyn-Corbray,Lyn Corbray,7.62E-04,4,17,6.643466419,5,0.038617862,
Paxter-Redwyne,Paxter Redwyne,9.35E-04,6,34,243.9115707,3,0.090894674,
Maegor-I-Targaryen,Maegor I Targaryen,0.0010601,6,22,798.6260349,3,0.093553034,
Mord,Mord,3.16E-04,1,20,0,3,0.034764842,
Randyll-Tarly,Randyll Tarly,0.002076634,13,67,1411.68223,3,0.125851241,
Timett,Timett,7.46E-04,4,29,1.295454545,3,0.063942497,
Ulf-son-of-Umar,Ulf son of Umar,3.85E-04,1,4,0,3,0.002533387,
Harren-Hoare,Harren Hoare,6.34E-04,3,16,24.19760511,4,0.032314801,
Rhaenys-Targaryen,Rhaenys Targaryen,6.21E-04,2,7,0,0,0.004608076,
Visenya-Targaryen,Visenya Targaryen,6.21E-04,2,6,0,0,0.004608076,
Aegon-V-Targaryen,Aegon V Targaryen,3.25E-04,1,6,0,1,0.006692821,
Daeron-II-Targaryen,Daeron II Targaryen,4.77E-04,2,6,393.496947,0,0.019114822,
Maekar-I-Targaryen,Maekar I Targaryen,3.25E-04,1,3,0,1,0.006692821,
Aenys-Frey,Aenys Frey,8.31E-04,4,19,256.2373336,7,0.047251802,
Aeron-Greyjoy,Aeron Greyjoy,0.0038906,15,151,4082.494978,6,0.040095201,Aeron
Dagmer,Dagmer,0.001018808,5,23,45.43942746,6,0.042479075,
Aerys-I-Targaryen,Aerys I Targaryen,3.03E-04,1,3,0,2,0.026125906,
Aggar,Aggar,0.001520711,4,13,2523.900785,6,0.008693986,
Gariss,Gariss,0.001052227,2,8,794,6,0.001154377,
Gelmarr,Gelmarr,5.12E-04,1,3,0,6,7.58E-04,
Gynir,Gynir,7.14E-04,2,7,25.43809524,6,0.002127967,
Ramsay-Snow,Ramsay Snow,0.003954207,23,241,5274.789036,6,0.199160504,Ramsay
Belwas,Belwas,0.002041348,13,153,88.69169153,0,0.058979374,
Alayaya,Alayaya,8.72E-04,4,16,794,3,0.076250031,
Dancy,Dancy,3.74E-04,1,3,0,3,0.002847462,
Alebelly,Alebelly,8.32E-04,4,19,2.25,5,0.023056931,
Hayhead,Hayhead,4.97E-04,2,9,0,5,0.01882299,
Jojen-Reed,Jojen Reed,0.001551907,10,261,85.7207165,5,0.062153071,
Mikken,Mikken,9.94E-04,5,25,74.50154579,5,0.039473929,
Alester-Florent,Alester Florent,0.001199388,7,41,114.5154628,7,0.063566562,
Cortnay-Penrose,Cortnay Penrose,0.001183719,7,39,208.4130871,7,0.106541946,
Davos-Seaworth,Davos Seaworth,0.006084221,33,483,7526.411338,7,0.185813207,Davos
Allar-Deem,Allar Deem,4.32E-04,2,7,0,3,0.046269918,
Allard-Seaworth,Allard Seaworth,6.95E-04,3,13,5.25952381,7,0.034590017,
Marya-Seaworth,Marya Seaworth,5.16E-04,2,8,0,7,0.027671643,
Amabel,Amabel,5.64E-04,2,10,0,4,0.025416763,
Harra,Harra,5.64E-04,2,7,0,4,0.025416763,
Amory-Lorch,Amory Lorch,0.002540689,20,105,372.884547,3,0.261540205,Amory
Chiswyck,Chiswyck,0.001640624,13,56,13.49966205,3,0.175149983,
Dunsen,Dunsen,0.001640624,13,154,13.49966205,3,0.175149983,
Hot-Pie,Hot Pie,0.001858775,11,195,959.5332102,4,0.059387407,
Polliver,Polliver,0.001756667,14,151,28.27148492,3,0.201211425,
Rafford,Rafford,0.001646371,13,171,14.67904097,3,0.201537131,
Tickler,Tickler,0.001516494,12,143,0,3,0.172148959,
Vargo-Hoat,Vargo Hoat,0.001530598,10,73,215.8913577,3,0.120338791,
Ardrian-Celtigar,Ardrian Celtigar,4.26E-04,1,5,0,7,0.00152636,
Monford-Velaryon,Monford Velaryon,8.37E-04,3,11,794,7,0.033731029,
Aron-Santagar,Aron Santagar,2.99E-04,1,3,0,3,0.015707196,
Arwyn-Oakheart,Arwyn Oakheart,3.24E-04,1,3,0,3,0.004661276,
Biter,Biter,8.62E-04,5,47,29.7983532,4,0.052072932,
Dobber,Dobber,3.25E-04,1,4,0,4,0.024202024,
